id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7450,64.0,320.0,0,471843000000
instance_7452,64.0,320.0,0,951228000000
instance_7453,64.0,320.0,0,1084498000000
instance_7454,64.0,320.0,0,1707665000000
instance_7455,64.0,400.0,0,2237857000000
instance_7460,48.0,240.0,0,4768000000
instance_7461,48.0,240.0,0,5524000000
instance_7462,64.0,320.0,0,5576000000
instance_7463,96.0,480.0,0,92010000000
instance_7464,96.0,480.0,0,167753000000
instance_7465,48.0,240.0,0,173426000000
instance_7466,48.0,200.0,0,887405000000
instance_7467,96.0,480.0,0,1274324000000
instance_7468,64.0,320.0,0,1746349000000
instance_7469,64.0,320.0,330000000,6533000000
instance_7472,192.0,960.0,935000000,20121000000
instance_7473,64.0,320.0,0,38954000000
instance_7474,48.0,240.0,0,52900000000
instance_7475,64.0,320.0,330000000,11551000000
instance_7476,64.0,320.0,925000000,97643000000
instance_7477,8.0,40.0,1066000000,172395000000
instance_7481,64.0,320.0,839000000,90527000000
instance_7482,64.0,320.0,0,944761000000
instance_7479,64.0,320.0,1000000,6260000000
instance_7484,64.0,320.0,89000000,27656000000
instance_7485,64.0,320.0,30000000,87311000000
instance_7486,64.0,320.0,1000000,16696000000
instance_7488,64.0,320.0,59000000,42330000000
instance_7489,64.0,320.0,480000000,17804000000
instance_7490,64.0,320.0,150000000,25250000000
instance_7492,64.0,320.0,780000000,13613000000
instance_7493,64.0,320.0,692000000,65864000000
instance_7494,8.0,40.0,733000000,207424000000
instance_7495,8.0,40.0,0,460999000000
instance_7496,8.0,40.0,2000000,460970000000
instance_7497,8.0,40.0,1652000000,246683000000
instance_7498,64.0,320.0,261000000,1322861000000
instance_7499,64.0,320.0,913000000,16753000000
instance_7500,64.0,320.0,0,33793000000
instance_7501,64.0,320.0,30000000,83468000000
instance_7502,12.0,120.0,28000000,1568000000
instance_7504,8.0,40.0,9000000,430520000000
instance_7507,8.0,40.0,11000000,1733300000000
instance_7508,12.0,120.0,0,1548000000
instance_7515,64.0,320.0,476000000,4107000000
instance_7516,96.0,480.0,1831000000,5175000000
instance_7517,64.0,320.0,0,102246000000
instance_7518,64.0,320.0,629000000,11757999999
instance_7519,64.0,320.0,210000000,58619000000
instance_7520,64.0,320.0,411000000,57947000000
instance_7521,64.0,320.0,519000000,21688999999
instance_7523,96.0,480.0,2623000000,71427000000
instance_7524,12.0,120.0,406000000,5339999999
instance_7525,12.0,120.0,0,10792999999
instance_7526,64.0,320.0,781000000,33425999999
instance_7527,64.0,320.0,0,81584000000
instance_7528,192.0,937.5,61000000,1025248000000
instance_7529,64.0,320.0,521000000,67680000000
instance_7530,48.0,300.0,748000000,1500247000000
instance_7531,192.0,960.0,740999999,10546000000
instance_7533,64.0,320.0,435000000,36625000000
instance_7534,64.0,320.0,0,63964000000
instance_7535,64.0,320.0,0,65773000000
instance_7536,64.0,320.0,0,66014000000
instance_7537,12.0,120.0,148000000,4054000000
instance_7538,64.0,320.0,300000000,19006000000
instance_7540,48.0,200.0,1230000000,164401000000
instance_7539,192.0,960.0,1000000,58689000000
instance_7541,64.0,320.0,1000000,72090000000
instance_7543,192.0,937.5,1650000000,15746000000
instance_7544,64.0,320.0,244000000,50632000000
instance_7545,64.0,320.0,1111000000,74442000000
instance_7547,64.0,320.0,1170000000,73169000000
instance_7548,12.0,120.0,1107000000,5107000000
instance_7550,64.0,320.0,513000000,15173000000
instance_7551,64.0,320.0,573000000,26267000000
instance_7552,64.0,320.0,650000000,5295000000
instance_7553,192.0,960.0,29000000,162121000000
instance_7554,192.0,960.0,30000000,1289362000000
instance_7555,64.0,320.0,249000000,62886000000
instance_7556,192.0,960.0,321000000,115336000000
instance_7557,64.0,320.0,728000000,80327000000
instance_7558,12.0,120.0,300000000,4002000000
instance_7559,64.0,320.0,601000000,15926000000
instance_7561,64.0,320.0,1597000000,50803000000
instance_7562,64.0,320.0,0,59934000000
instance_7563,64.0,320.0,0,297257000000
instance_7564,64.0,320.0,540000000,6172000000
instance_7565,64.0,320.0,150000000,50646000000
instance_7566,64.0,320.0,164000000,233265000000
instance_7567,12.0,120.0,332000000,2745000000
instance_7569,64.0,320.0,915000000,57844000000
instance_7570,64.0,320.0,3309000000,205000000
instance_7572,192.0,960.0,30000000,122320000000
instance_7574,64.0,320.0,147000000,46266000000
instance_7575,64.0,320.0,1000000,1078141000000
instance_7576,64.0,320.0,29000000,4192000000
instance_7577,64.0,320.0,150000000,4534000000
instance_7578,64.0,320.0,300000000,65662000000
instance_7579,64.0,320.0,0,70465000000
instance_7582,96.0,480.0,333000000,3918000000
instance_7583,64.0,320.0,28000000,4441000000
instance_7585,64.0,320.0,965000000,794032000000
instance_7586,96.0,480.0,327000000,2503000000
instance_7588,96.0,480.0,1283000000,42130000000
instance_7587,96.0,480.0,1000000,4937000000
instance_7589,64.0,320.0,420000000,31943000000
instance_7590,8.0,40.0,215000000,76096000000
instance_7592,64.0,320.0,18000000,328437000000
instance_7593,64.0,320.0,96000000,28790000000
instance_7594,64.0,320.0,574000000,66126000000
instance_7595,64.0,320.0,86000000,4285000000
instance_7596,64.0,320.0,144000000,519393000000
instance_7591,192.0,960.0,166000000,1100882000000
instance_7597,64.0,320.0,195000000,1708849000000
instance_7598,48.0,240.0,1260000000,1235000000
instance_7599,64.0,320.0,2000000,94439000000
instance_7600,192.0,937.5,1000000,219042000000
instance_7604,48.0,300.0,873000000,4463000000
instance_7605,96.0,480.0,0,4690000000
instance_7606,48.0,240.0,0,49283000000
instance_7607,48.0,240.0,1000000,84989000000
instance_7608,64.0,320.0,0,124839000000
instance_7609,8.0,40.0,261000000,3480000000
instance_7610,8.0,40.0,0,17964000000
instance_7611,64.0,320.0,309000000,4118000000
instance_7613,48.0,240.0,465000000,208389000000
instance_7614,8.0,40.0,298000000,244440000000
instance_7615,8.0,40.0,1000000,5810000000
instance_7616,8.0,40.0,0,139338000000
instance_7617,8.0,40.0,0,208097000000
instance_7618,8.0,40.0,0,244195000000
instance_7619,48.0,240.0,489000000,318596000000
