util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
100.0,32,128,4,4,10,nodes32_pods128_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,6,0.0600,0,0.0000,16,0.1600,78,0.7800,94,0.9400,0,0.0000,1011362.0,10113.62,3.177,3.279,0.0318,0.0328
100.0,32,128,4,4,20,nodes32_pods128_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,7,0.0700,0,0.0000,19,0.1900,74,0.7400,93,0.9300,0,0.0000,1833906.0,18339.06,3.386,3.453,0.0339,0.0345
100.0,32,256,8,1,1,nodes32_pods256_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,127407.0,1274.07,-0.048,0.067,-0.0005,0.0007
100.0,32,256,8,1,10,nodes32_pods256_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,38,0.3800,0,0.0000,0,0.0000,62,0.6200,62,0.6200,0,0.0000,1075115.0,10751.15,1.753,1.667,0.0175,0.0167
100.0,32,256,8,1,20,nodes32_pods256_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,92,0.9200,0,0.0000,0,0.0000,8,0.0800,8,0.0800,0,0.0000,2107698.0,21076.98,0.392,0.432,0.0039,0.0043
100.0,32,256,8,2,1,nodes32_pods256_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,136261.0,1362.61,-1.511,-1.268,-0.0151,-0.0127
100.0,32,256,8,2,10,nodes32_pods256_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,47,0.4700,0,0.0000,0,0.0000,53,0.5300,53,0.5300,0,0.0000,1099204.0,10992.04,1.205,1.362,0.0121,0.0136
100.0,32,256,8,2,20,nodes32_pods256_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,16,0.1600,0,0.0000,0,0.0000,84,0.8400,84,0.8400,0,0.0000,2086248.0,20862.48,2.947,2.952,0.0295,0.0295
100.0,32,256,8,4,1,nodes32_pods256_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,128211.0,1282.11,-1.453,-1.712,-0.0145,-0.0171
100.0,32,256,8,4,10,nodes32_pods256_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,8,0.0800,0,0.0000,0,0.0000,92,0.9200,92,0.9200,0,0.0000,1087093.0,10870.93,2.541,2.374,0.0254,0.0237
100.0,32,256,8,4,20,nodes32_pods256_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,40,0.4000,0,0.0000,0,0.0000,60,0.6000,60,0.6000,0,0.0000,2097001.0,20970.01,1.232,0.994,0.0123,0.0099
105.0,4,16,4,1,1,nodes4_pods16_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,7,0.0700,1,0.0100,30,0.3000,62,0.6200,92,0.9200,0,0.0000,131430.0,1314.3,8.687,7.541,0.0869,0.0754
105.0,4,16,4,1,10,nodes4_pods16_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,4,0.0400,4,0.0400,68,0.6800,24,0.2400,92,0.9200,0,0.0000,338947.0,3389.47,8.575,7.513,0.0857,0.0751
105.0,4,16,4,1,20,nodes4_pods16_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,6,0.0600,77,0.7700,15,0.1500,92,0.9200,0,0.0000,455587.0,4555.87,8.66,7.394,0.0866,0.0739
