timestamp,kwok_config,seed_config,seed,num_nodes,pods_per_node,num_replicaset,num_priorities,node_cpu_m,node_mem_b,cpu_per_pod_m,mem_per_pod_b,num_replicas_per_rs_set,util,util_tolerance,util_run_cpu,util_run_mem,cpu_m_run,mem_b_run,wait_mode,wait_timeout_s,settle_timeout_s,scheduled_count,unscheduled_count,pods_run_by_node,placed_by_priority,unscheduled,scheduled,pod_node
2025/09/12/15:51:18,scripts/kwok/kwok_configs/default2.yaml,,5865624590548917647,4,8,7,4,2400,34359738368,"120,420","2147483648,5583457484","2,8",0.95,0.01,0.948,0.949,9099,130364367997,running,5,3,32,0,"{""kwok-node-1"":8,""kwok-node-2"":8,""kwok-node-3"":8,""kwok-node-4"":8}","{""p4"":8,""p3"":10,""p2"":7,""p1"":7}",{},"{rs-01-p4-7tzj7,rs-01-p4-88pmf,rs-01-p4-x2hfk,rs-01-p4-xrdl6,rs-02-p3-ch28q,rs-02-p3-fbmc5,rs-02-p3-fgp9h,rs-03-p2-9c4xv,rs-03-p2-gvrhn,rs-04-p1-8jt6t,rs-04-p1-998kt,rs-04-p1-fmrsl,rs-04-p1-fvqvw,rs-04-p1-hnpcr,rs-04-p1-j8jj7,rs-04-p1-x7p77,rs-05-p4-5zdtz,rs-05-p4-9mnjk,rs-05-p4-cf4lb,rs-05-p4-jg86g,rs-06-p3-7fmq7,rs-06-p3-8fzfh,rs-06-p3-b2nl7,rs-06-p3-bwkmb,rs-06-p3-hxnnw,rs-06-p3-pjkxz,rs-06-p3-zr2hl,rs-07-p2-5btb7,rs-07-p2-7w5cq,rs-07-p2-b5rhj,rs-07-p2-jv5cb,rs-07-p2-swz6t}","[{""name"":""rs-01-p4-7tzj7"",""cpu_m"":192,""mem_b"":5310867829,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-88pmf"",""cpu_m"":192,""mem_b"":5310867829,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-01-p4-x2hfk"",""cpu_m"":192,""mem_b"":5310867829,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-xrdl6"",""cpu_m"":192,""mem_b"":5310867829,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-ch28q"",""cpu_m"":188,""mem_b"":3386026607,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-fbmc5"",""cpu_m"":188,""mem_b"":3386026607,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-02-p3-fgp9h"",""cpu_m"":188,""mem_b"":3386026607,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-03-p2-9c4xv"",""cpu_m"":357,""mem_b"":3555341803,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-gvrhn"",""cpu_m"":357,""mem_b"":3555341803,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-8jt6t"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-998kt"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-fmrsl"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-fvqvw"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-hnpcr"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-j8jj7"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-x7p77"",""cpu_m"":287,""mem_b"":4462796319,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-05-p4-5zdtz"",""cpu_m"":142,""mem_b"":4416010905,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-05-p4-9mnjk"",""cpu_m"":142,""mem_b"":4416010905,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-05-p4-cf4lb"",""cpu_m"":142,""mem_b"":4416010905,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-05-p4-jg86g"",""cpu_m"":142,""mem_b"":4416010905,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-06-p3-7fmq7"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-06-p3-8fzfh"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-06-p3-b2nl7"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-06-p3-bwkmb"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-06-p3-hxnnw"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-06-p3-pjkxz"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-06-p3-zr2hl"",""cpu_m"":403,""mem_b"":3112988438,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-07-p2-5btb7"",""cpu_m"":331,""mem_b"":4231519267,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-07-p2-7w5cq"",""cpu_m"":331,""mem_b"":4231519267,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-07-p2-b5rhj"",""cpu_m"":331,""mem_b"":4231519267,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-07-p2-jv5cb"",""cpu_m"":331,""mem_b"":4231519267,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-07-p2-swz6t"",""cpu_m"":331,""mem_b"":4231519267,""priority"":""p2"",""node"":""kwok-node-3""}]"
2025/09/12/15:52:21,scripts/kwok/kwok_configs/default2.yaml,,7214830348894696293,4,8,5,8,2400,34359738368,"120,420","2147483648,5583457484","2,8",0.95,0.01,0.941,0.947,9031,130182153055,running,5,3,32,0,"{""kwok-node-1"":8,""kwok-node-2"":8,""kwok-node-3"":8,""kwok-node-4"":8}","{""p8"":6,""p7"":7,""p6"":8,""p5"":4,""p4"":7}",{},"{rs-01-p8-6mm7w,rs-01-p8-c9r72,rs-01-p8-fpmlz,rs-01-p8-hccd8,rs-01-p8-vp5fr,rs-01-p8-vpbqg,rs-02-p7-d9s7v,rs-02-p7-lhrkk,rs-02-p7-np5qj,rs-02-p7-rg9qm,rs-02-p7-rsmb8,rs-02-p7-v67zc,rs-02-p7-vsnbp,rs-03-p6-b8vz5,rs-03-p6-blsnd,rs-03-p6-h26sf,rs-03-p6-n5rvc,rs-03-p6-n6s8z,rs-03-p6-p7vqb,rs-03-p6-pqpgl,rs-03-p6-vc4b8,rs-04-p5-26vtb,rs-04-p5-6m4rq,rs-04-p5-l6949,rs-04-p5-ps75r,rs-05-p4-cc7tt,rs-05-p4-dhttv,rs-05-p4-f9gxr,rs-05-p4-fpfj2,rs-05-p4-khcpp,rs-05-p4-s8s5l,rs-05-p4-t7znd}","[{""name"":""rs-01-p8-6mm7w"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-2""},{""name"":""rs-01-p8-c9r72"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-3""},{""name"":""rs-01-p8-fpmlz"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-4""},{""name"":""rs-01-p8-hccd8"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-4""},{""name"":""rs-01-p8-vp5fr"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-1""},{""name"":""rs-01-p8-vpbqg"",""cpu_m"":329,""mem_b"":2587384029,""priority"":""p8"",""node"":""kwok-node-3""},{""name"":""rs-02-p7-d9s7v"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-2""},{""name"":""rs-02-p7-lhrkk"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-1""},{""name"":""rs-02-p7-np5qj"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-4""},{""name"":""rs-02-p7-rg9qm"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-2""},{""name"":""rs-02-p7-rsmb8"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-4""},{""name"":""rs-02-p7-v67zc"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-1""},{""name"":""rs-02-p7-vsnbp"",""cpu_m"":420,""mem_b"":3470808299,""priority"":""p7"",""node"":""kwok-node-3""},{""name"":""rs-03-p6-b8vz5"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-4""},{""name"":""rs-03-p6-blsnd"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-3""},{""name"":""rs-03-p6-h26sf"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-3""},{""name"":""rs-03-p6-n5rvc"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-1""},{""name"":""rs-03-p6-n6s8z"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-2""},{""name"":""rs-03-p6-p7vqb"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-1""},{""name"":""rs-03-p6-pqpgl"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-2""},{""name"":""rs-03-p6-vc4b8"",""cpu_m"":214,""mem_b"":3677657568,""priority"":""p6"",""node"":""kwok-node-4""},{""name"":""rs-04-p5-26vtb"",""cpu_m"":267,""mem_b"":5583457484,""priority"":""p5"",""node"":""kwok-node-2""},{""name"":""rs-04-p5-6m4rq"",""cpu_m"":267,""mem_b"":5583457484,""priority"":""p5"",""node"":""kwok-node-3""},{""name"":""rs-04-p5-l6949"",""cpu_m"":267,""mem_b"":5583457484,""priority"":""p5"",""node"":""kwok-node-1""},{""name"":""rs-04-p5-ps75r"",""cpu_m"":267,""mem_b"":5583457484,""priority"":""p5"",""node"":""kwok-node-4""},{""name"":""rs-05-p4-cc7tt"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-05-p4-dhttv"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-05-p4-f9gxr"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-05-p4-fpfj2"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-05-p4-khcpp"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-05-p4-s8s5l"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-05-p4-t7znd"",""cpu_m"":191,""mem_b"":5515300044,""priority"":""p4"",""node"":""kwok-node-4""}]"
2025/09/12/15:59:29,scripts/kwok/kwok_configs/default2.yaml,,2432119061098905596,4,8,6,4,2400,34359738368,"120,420","2147483648,5583457484","2,8",0.95,0.01,0.949,0.940,9106,129217361034,running,5,3,32,0,"{""kwok-node-1"":8,""kwok-node-2"":8,""kwok-node-3"":8,""kwok-node-4"":8}","{""p4"":6,""p3"":15,""p2"":5,""p1"":6}",{},"{rs-01-p4-27jxz,rs-01-p4-bzfhd,rs-01-p4-c5fq5,rs-01-p4-nffkl,rs-02-p3-2jdd4,rs-02-p3-8sz4c,rs-02-p3-9zdgv,rs-02-p3-bxx76,rs-02-p3-mrxkz,rs-02-p3-pd2jn,rs-02-p3-xqtqz,rs-03-p2-29w9x,rs-03-p2-46bdv,rs-03-p2-7gfhm,rs-03-p2-gw4wz,rs-03-p2-t7bzn,rs-04-p1-2k5p2,rs-04-p1-52tvz,rs-04-p1-cc8tj,rs-04-p1-gq77q,rs-04-p1-kkv5h,rs-04-p1-kvg62,rs-05-p4-7psvp,rs-05-p4-vtcrr,rs-06-p3-2ps5z,rs-06-p3-6rz5b,rs-06-p3-9ld9n,rs-06-p3-b6s76,rs-06-p3-cv2qn,rs-06-p3-h6b8f,rs-06-p3-n7jgw,rs-06-p3-q5w22}","[{""name"":""rs-01-p4-27jxz"",""cpu_m"":299,""mem_b"":4894585851,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-01-p4-bzfhd"",""cpu_m"":299,""mem_b"":4894585851,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-c5fq5"",""cpu_m"":299,""mem_b"":4894585851,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-nffkl"",""cpu_m"":299,""mem_b"":4894585851,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-2jdd4"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-8sz4c"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-9zdgv"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-bxx76"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-mrxkz"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-pd2jn"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-xqtqz"",""cpu_m"":323,""mem_b"":2695744180,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-29w9x"",""cpu_m"":345,""mem_b"":3639110850,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-46bdv"",""cpu_m"":345,""mem_b"":3639110850,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-7gfhm"",""cpu_m"":345,""mem_b"":3639110850,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-03-p2-gw4wz"",""cpu_m"":345,""mem_b"":3639110850,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-t7bzn"",""cpu_m"":345,""mem_b"":3639110850,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-2k5p2"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-52tvz"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-cc8tj"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-gq77q"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-kkv5h"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-kvg62"",""cpu_m"":213,""mem_b"":3419168844,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-05-p4-7psvp"",""cpu_m"":315,""mem_b"":4484260288,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-05-p4-vtcrr"",""cpu_m"":315,""mem_b"":4484260288,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-06-p3-2ps5z"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-06-p3-6rz5b"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-06-p3-9ld9n"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-06-p3-b6s76"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-06-p3-cv2qn"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-06-p3-h6b8f"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-06-p3-n7jgw"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-06-p3-q5w22"",""cpu_m"":252,""mem_b"":5386215060,""priority"":""p3"",""node"":""kwok-node-2""}]"
2025/09/12/16:00:18,scripts/kwok/kwok_configs/default2.yaml,,7970725307541084430,4,8,7,7,2400,34359738368,"120,420","2147483648,5583457484","2,8",0.95,0.01,0.941,0.950,9034,130537824207,running,5,3,32,0,"{""kwok-node-1"":8,""kwok-node-2"":8,""kwok-node-3"":8,""kwok-node-4"":8}","{""p7"":8,""p6"":3,""p5"":2,""p4"":7,""p3"":5,""p2"":4,""p1"":3}",{},"{rs-01-p7-4tdnm,rs-01-p7-5pptv,rs-01-p7-7559k,rs-01-p7-c7n9k,rs-01-p7-csbjj,rs-01-p7-gtqz2,rs-01-p7-n79db,rs-01-p7-sv8hm,rs-02-p6-4gqfp,rs-02-p6-84dvw,rs-02-p6-fsxcl,rs-03-p5-7g7wh,rs-03-p5-8ntjw,rs-04-p4-4pdxg,rs-04-p4-9hldg,rs-04-p4-czbgv,rs-04-p4-dfr62,rs-04-p4-kj6nn,rs-04-p4-r2trc,rs-04-p4-xx5gd,rs-05-p3-2qwdz,rs-05-p3-4xl52,rs-05-p3-f49hv,rs-05-p3-m76s9,rs-05-p3-vknqr,rs-06-p2-5vgm2,rs-06-p2-nbfb4,rs-06-p2-rm8cc,rs-06-p2-sgtbv,rs-07-p1-4gsff,rs-07-p1-jzvnm,rs-07-p1-z9slq}","[{""name"":""rs-01-p7-4tdnm"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-2""},{""name"":""rs-01-p7-5pptv"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-2""},{""name"":""rs-01-p7-7559k"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-3""},{""name"":""rs-01-p7-c7n9k"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-3""},{""name"":""rs-01-p7-csbjj"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-1""},{""name"":""rs-01-p7-gtqz2"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-4""},{""name"":""rs-01-p7-n79db"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-4""},{""name"":""rs-01-p7-sv8hm"",""cpu_m"":387,""mem_b"":3335816021,""priority"":""p7"",""node"":""kwok-node-1""},{""name"":""rs-02-p6-4gqfp"",""cpu_m"":212,""mem_b"":4497960729,""priority"":""p6"",""node"":""kwok-node-3""},{""name"":""rs-02-p6-84dvw"",""cpu_m"":212,""mem_b"":4497960729,""priority"":""p6"",""node"":""kwok-node-4""},{""name"":""rs-02-p6-fsxcl"",""cpu_m"":212,""mem_b"":4497960729,""priority"":""p6"",""node"":""kwok-node-2""},{""name"":""rs-03-p5-7g7wh"",""cpu_m"":163,""mem_b"":4801087041,""priority"":""p5"",""node"":""kwok-node-2""},{""name"":""rs-03-p5-8ntjw"",""cpu_m"":163,""mem_b"":4801087041,""priority"":""p5"",""node"":""kwok-node-1""},{""name"":""rs-04-p4-4pdxg"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-04-p4-9hldg"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-04-p4-czbgv"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-04-p4-dfr62"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-04-p4-kj6nn"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-04-p4-r2trc"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-04-p4-xx5gd"",""cpu_m"":324,""mem_b"":2509527769,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-05-p3-2qwdz"",""cpu_m"":197,""mem_b"":5492465284,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-05-p3-4xl52"",""cpu_m"":197,""mem_b"":5492465284,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-05-p3-f49hv"",""cpu_m"":197,""mem_b"":5492465284,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-05-p3-m76s9"",""cpu_m"":197,""mem_b"":5492465284,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-05-p3-vknqr"",""cpu_m"":197,""mem_b"":5492465284,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-06-p2-5vgm2"",""cpu_m"":265,""mem_b"":5293767959,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-06-p2-nbfb4"",""cpu_m"":265,""mem_b"":5293767959,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-06-p2-rm8cc"",""cpu_m"":265,""mem_b"":5293767959,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-06-p2-sgtbv"",""cpu_m"":265,""mem_b"":5293767959,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-07-p1-4gsff"",""cpu_m"":221,""mem_b"":4850382377,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-07-p1-jzvnm"",""cpu_m"":221,""mem_b"":4850382377,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-07-p1-z9slq"",""cpu_m"":221,""mem_b"":4850382377,""priority"":""p1"",""node"":""kwok-node-4""}]"
