timestamp,kwok_config,seed,num_nodes,pods_per_node,num_replicaset,num_priorities,node_cpu,node_mem,cpu_interval,mem_interval,util,util_tolerance,util_run_cpu,util_run_mem,cpu_m_run,mem_b_run,wait_mode,wait_timeout,settle_timeout,scheduled_count,unscheduled_count,pods_run_by_node,placed_by_priority,scheduled,unscheduled,pod_node
2025/09/10/22:52:47,scripts/kwok/kwok_configs/default.yaml,4176179020569679189,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.899,0.900,8633,123691073536,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":4,""p3"":1,""p2"":4,""p1"":7}","{rs-01-p4-d9l8q,rs-01-p4-glhzz,rs-01-p4-h9xcp,rs-01-p4-v425s,rs-02-p3-dbwfx,rs-03-p2-5s5g8,rs-03-p2-rd5xm,rs-03-p2-vbtq4,rs-03-p2-wg5q8,rs-04-p1-56phb,rs-04-p1-mggxl,rs-04-p1-mnd52,rs-04-p1-nbg67,rs-04-p1-nwxbf,rs-04-p1-rtrlr,rs-04-p1-zrd77}",{},"[{""name"":""rs-01-p4-d9l8q"",""cpu_m"":322,""mem_mi"":3715,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-glhzz"",""cpu_m"":322,""mem_mi"":3715,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-h9xcp"",""cpu_m"":322,""mem_mi"":3715,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-v425s"",""cpu_m"":322,""mem_mi"":3715,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-dbwfx"",""cpu_m"":449,""mem_mi"":3498,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-03-p2-5s5g8"",""cpu_m"":485,""mem_mi"":8288,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-rd5xm"",""cpu_m"":485,""mem_mi"":8288,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-vbtq4"",""cpu_m"":485,""mem_mi"":8288,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-wg5q8"",""cpu_m"":485,""mem_mi"":8288,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-56phb"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-mggxl"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-mnd52"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-nbg67"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-nwxbf"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-rtrlr"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-zrd77"",""cpu_m"":708,""mem_mi"":9493,""priority"":""p1"",""node"":""kwok-node-1""}]"
2025/09/10/22:53:12,scripts/kwok/kwok_configs/default.yaml,8312120662598035466,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.899,0.900,8635,123687927808,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":3,""p3"":3,""p2"":3,""p1"":7}","{rs-01-p4-pcnjt,rs-01-p4-rjkxc,rs-01-p4-w2zmv,rs-02-p3-5d8qm,rs-02-p3-7clzv,rs-02-p3-v8tbg,rs-03-p2-4jszl,rs-03-p2-99qqn,rs-03-p2-nl4kx,rs-04-p1-69zvt,rs-04-p1-9mt9m,rs-04-p1-gddxf,rs-04-p1-jf26r,rs-04-p1-kqfnp,rs-04-p1-sh627,rs-04-p1-tvhcn}",{},"[{""name"":""rs-01-p4-pcnjt"",""cpu_m"":419,""mem_mi"":7259,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-rjkxc"",""cpu_m"":419,""mem_mi"":7259,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-01-p4-w2zmv"",""cpu_m"":419,""mem_mi"":7259,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-5d8qm"",""cpu_m"":473,""mem_mi"":6877,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-7clzv"",""cpu_m"":473,""mem_mi"":6877,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-v8tbg"",""cpu_m"":473,""mem_mi"":6877,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-4jszl"",""cpu_m"":696,""mem_mi"":6519,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-99qqn"",""cpu_m"":696,""mem_mi"":6519,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-nl4kx"",""cpu_m"":696,""mem_mi"":6519,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-69zvt"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-9mt9m"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-gddxf"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-jf26r"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-kqfnp"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-sh627"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-tvhcn"",""cpu_m"":553,""mem_mi"":7999,""priority"":""p1"",""node"":""kwok-node-2""}]"
2025/09/10/22:53:37,scripts/kwok/kwok_configs/default.yaml,754320744531636931,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.899,0.900,8633,123685830656,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":3,""p3"":4,""p2"":4,""p1"":5}","{rs-01-p4-hdchs,rs-01-p4-mc6td,rs-01-p4-tzvhj,rs-02-p3-58ppr,rs-02-p3-72752,rs-02-p3-xlvxt,rs-02-p3-xwxpt,rs-03-p2-fjrxz,rs-03-p2-pw4d2,rs-03-p2-xrv24,rs-03-p2-zcwvk,rs-04-p1-2z97m,rs-04-p1-5zxms,rs-04-p1-9jtfn,rs-04-p1-ltb5s,rs-04-p1-xkpsj}",{},"[{""name"":""rs-01-p4-hdchs"",""cpu_m"":491,""mem_mi"":6013,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-mc6td"",""cpu_m"":491,""mem_mi"":6013,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-tzvhj"",""cpu_m"":491,""mem_mi"":6013,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-58ppr"",""cpu_m"":582,""mem_mi"":4834,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-72752"",""cpu_m"":582,""mem_mi"":4834,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-xlvxt"",""cpu_m"":582,""mem_mi"":4834,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-02-p3-xwxpt"",""cpu_m"":582,""mem_mi"":4834,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-fjrxz"",""cpu_m"":488,""mem_mi"":8429,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-pw4d2"",""cpu_m"":488,""mem_mi"":8429,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-xrv24"",""cpu_m"":488,""mem_mi"":8429,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-zcwvk"",""cpu_m"":488,""mem_mi"":8429,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-2z97m"",""cpu_m"":576,""mem_mi"":9373,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-5zxms"",""cpu_m"":576,""mem_mi"":9373,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-9jtfn"",""cpu_m"":576,""mem_mi"":9373,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-ltb5s"",""cpu_m"":576,""mem_mi"":9373,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-xkpsj"",""cpu_m"":576,""mem_mi"":9373,""priority"":""p1"",""node"":""kwok-node-2""}]"
2025/09/10/22:54:30,scripts/kwok/kwok_configs/default.yaml,7181526378955753186,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.899,0.900,8632,123687927808,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":5,""p3"":2,""p2"":5,""p1"":4}","{rs-01-p4-4pvds,rs-01-p4-h6k4n,rs-01-p4-lc9sv,rs-01-p4-pm2rq,rs-01-p4-zk8gb,rs-02-p3-8p8m2,rs-02-p3-xgwgn,rs-03-p2-66l2q,rs-03-p2-9wgwq,rs-03-p2-bcbkb,rs-03-p2-lmpfx,rs-03-p2-vf5f8,rs-04-p1-9fdnx,rs-04-p1-chxj4,rs-04-p1-dp2xr,rs-04-p1-rflb7}",{},"[{""name"":""rs-01-p4-4pvds"",""cpu_m"":611,""mem_mi"":7333,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-h6k4n"",""cpu_m"":611,""mem_mi"":7333,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-lc9sv"",""cpu_m"":611,""mem_mi"":7333,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-pm2rq"",""cpu_m"":611,""mem_mi"":7333,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-zk8gb"",""cpu_m"":611,""mem_mi"":7333,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-8p8m2"",""cpu_m"":740,""mem_mi"":6537,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-xgwgn"",""cpu_m"":740,""mem_mi"":6537,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-66l2q"",""cpu_m"":369,""mem_mi"":7355,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-9wgwq"",""cpu_m"":369,""mem_mi"":7355,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-03-p2-bcbkb"",""cpu_m"":369,""mem_mi"":7355,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-lmpfx"",""cpu_m"":369,""mem_mi"":7355,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-vf5f8"",""cpu_m"":369,""mem_mi"":7355,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-9fdnx"",""cpu_m"":563,""mem_mi"":7861,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-chxj4"",""cpu_m"":563,""mem_mi"":7861,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-dp2xr"",""cpu_m"":563,""mem_mi"":7861,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-rflb7"",""cpu_m"":563,""mem_mi"":7861,""priority"":""p1"",""node"":""kwok-node-2""}]"
2025/09/10/22:54:54,scripts/kwok/kwok_configs/default.yaml,1169351724860032211,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.899,0.900,8634,123684782080,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":3,""p3"":3,""p2"":4,""p1"":6}","{rs-01-p4-cl4lb,rs-01-p4-gsntl,rs-01-p4-jx5px,rs-02-p3-dsj2l,rs-02-p3-m2skz,rs-02-p3-q4k88,rs-03-p2-88spb,rs-03-p2-8kwq5,rs-03-p2-hgj8r,rs-03-p2-srk7d,rs-04-p1-2cbdm,rs-04-p1-52wlw,rs-04-p1-bv25d,rs-04-p1-gkczb,rs-04-p1-sxtff,rs-04-p1-x5j9d}",{},"[{""name"":""rs-01-p4-cl4lb"",""cpu_m"":579,""mem_mi"":8410,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-01-p4-gsntl"",""cpu_m"":579,""mem_mi"":8410,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-jx5px"",""cpu_m"":579,""mem_mi"":8410,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-dsj2l"",""cpu_m"":449,""mem_mi"":7115,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-m2skz"",""cpu_m"":449,""mem_mi"":7115,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-q4k88"",""cpu_m"":449,""mem_mi"":7115,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-88spb"",""cpu_m"":540,""mem_mi"":4246,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-8kwq5"",""cpu_m"":540,""mem_mi"":4246,""priority"":""p2"",""node"":""kwok-node-4""},{""name"":""rs-03-p2-hgj8r"",""cpu_m"":540,""mem_mi"":4246,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-srk7d"",""cpu_m"":540,""mem_mi"":4246,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-2cbdm"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-52wlw"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-bv25d"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-gkczb"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-sxtff"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-1""},{""name"":""rs-04-p1-x5j9d"",""cpu_m"":565,""mem_mi"":9066,""priority"":""p1"",""node"":""kwok-node-4""}]"
2025/09/10/22:55:18,scripts/kwok/kwok_configs/default.yaml,1028211032485514972,4,4,4,4,2400m,32Gi,"53m,1026m","737Mi,14008Mi",0.9,0.01,0.900,0.900,8637,123687927808,running,5s,3s,16,0,"{""kwok-node-1"":4,""kwok-node-2"":4,""kwok-node-3"":4,""kwok-node-4"":4}","{""p4"":4,""p3"":4,""p2"":3,""p1"":5}","{rs-01-p4-8hvqf,rs-01-p4-9nqbk,rs-01-p4-rmzhv,rs-01-p4-xwd5l,rs-02-p3-86fsc,rs-02-p3-bc8kv,rs-02-p3-d878z,rs-02-p3-v4r47,rs-03-p2-95tw9,rs-03-p2-n2wqb,rs-03-p2-xkvvt,rs-04-p1-2mwqf,rs-04-p1-5fwf9,rs-04-p1-69qbw,rs-04-p1-7bkdk,rs-04-p1-82wm5}",{},"[{""name"":""rs-01-p4-8hvqf"",""cpu_m"":302,""mem_mi"":9007,""priority"":""p4"",""node"":""kwok-node-2""},{""name"":""rs-01-p4-9nqbk"",""cpu_m"":302,""mem_mi"":9007,""priority"":""p4"",""node"":""kwok-node-3""},{""name"":""rs-01-p4-rmzhv"",""cpu_m"":302,""mem_mi"":9007,""priority"":""p4"",""node"":""kwok-node-1""},{""name"":""rs-01-p4-xwd5l"",""cpu_m"":302,""mem_mi"":9007,""priority"":""p4"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-86fsc"",""cpu_m"":565,""mem_mi"":7206,""priority"":""p3"",""node"":""kwok-node-2""},{""name"":""rs-02-p3-bc8kv"",""cpu_m"":565,""mem_mi"":7206,""priority"":""p3"",""node"":""kwok-node-3""},{""name"":""rs-02-p3-d878z"",""cpu_m"":565,""mem_mi"":7206,""priority"":""p3"",""node"":""kwok-node-4""},{""name"":""rs-02-p3-v4r47"",""cpu_m"":565,""mem_mi"":7206,""priority"":""p3"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-95tw9"",""cpu_m"":478,""mem_mi"":9027,""priority"":""p2"",""node"":""kwok-node-1""},{""name"":""rs-03-p2-n2wqb"",""cpu_m"":478,""mem_mi"":9027,""priority"":""p2"",""node"":""kwok-node-2""},{""name"":""rs-03-p2-xkvvt"",""cpu_m"":478,""mem_mi"":9027,""priority"":""p2"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-2mwqf"",""cpu_m"":747,""mem_mi"":5205,""priority"":""p1"",""node"":""kwok-node-2""},{""name"":""rs-04-p1-5fwf9"",""cpu_m"":747,""mem_mi"":5205,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-69qbw"",""cpu_m"":747,""mem_mi"":5205,""priority"":""p1"",""node"":""kwok-node-4""},{""name"":""rs-04-p1-7bkdk"",""cpu_m"":747,""mem_mi"":5205,""priority"":""p1"",""node"":""kwok-node-3""},{""name"":""rs-04-p1-82wm5"",""cpu_m"":747,""mem_mi"":5205,""priority"":""p1"",""node"":""kwok-node-1""}]"
